"","id","puzzle","solution","clues","difficulty","level"
"1",506016,"...4...6..6...8..5.3......1........83...27.4.....1........5.1.7.1....3..2.96.....",1.95473862762198e+80,21,0,"Easy"
"2",2535145,"942..8......4....7..6.....9...8.53..23..6.18..........1.7..9.63.5..4.........7..8",9.42378651518496e+80,25,0,"Easy"
"3",529485,"7....95.6.4.1.6.2.9...8....8......49.....8....6...47.3...72..9........723...6....",7.82439516543177e+80,25,0,"Easy"
"4",1171029,"..6...5..53......8...........5.67.3......2..1..35.986....2.4.....879..264..3...8.",8.46973512539422e+80,26,0,"Easy"
"5",903466,".284..9..........54...2..6..1..8.....925..1.77.5.....3.7...9...5....63......4....",6.28457931137698e+80,24,0,"Easy"
"6",1242445,"..6.491.........8.9.8.6..54.2..........73.......1.....6....2....8139.7..5.3.....2",3.56849127412574e+80,24,0,"Easy"
"7",491799,"1......5...462.1.....8............8..9...13.6..67....5.321.6..9.4......35.1.8.6..",1.67394258984625e+80,26,0,"Easy"
"8",2585667,".4..9....5....1....82.3.9....6...891.7......3..8..9..2...82...4..31.4........6.5.",1.47598236539261e+80,25,1.7,"Easy"
"9",351169,".7.15.6.3.2..7...54..6...79..5......7.....8.......1....1.36.5..9.6....3....71..6.",8.79154623621973e+80,26,1.8,"Easy"
"10",2953560,"5....83...8...12....72.........3.715.7....4...46....3.....7.1.6..21.....9....4...",5.21768394689341e+80,24,1.7,"Easy"
"11",425882,"7.....4....85..3...2..48.6.....5.1....2..1.5..6.9.4.....7.....9.3.6...82......6.1",7.56193428498526e+80,25,0,"Easy"
"12",2915326,".35.....2.6...9..84.25...3......8..7.7.........3...2.1..9.7...41...8........16.7.",9.35847612761329e+80,24,0,"Easy"
"13",905255,".5.3.8..49...7.1.2.....93...4..6.8.5.7...24.3.....7...8......192...917...........",7.51328964983476e+80,26,0,"Easy"
"14",1373798,"..38..4...5....3.8...91..5.49...2....6..5.....3......4..72.91..2.........8....59.",6.73825419951467e+80,24,0,"Easy"
"15",2924502,".7..9..4..48.53....6...4.95..2...7.6.........8....1.24...3.6.12.5372......4......",3.75192648948653e+80,27,0,"Easy"
